code,product_name,categories,packaging,ingredients_analysis_tags,ecoscore_score,ecoscore_grade,food_type,is_biodegradable,final_ecoscore,biodegradability_score,biodegradability_label,clean_category,product_name_lower,clean_category_fixed
8901512540409.0,chilli surprise,"Snacks,Popcorn",,"['en:palm-oil', 'en:vegan-status-unknown', 'en:vegetarian']",,,other,no,,40.0,Moderately Biodegradable,non_food,chilli surprise,non_food
8902901224054.0,Good life APRICOT,"Plant-based foods and beverages, Plant-based foods, Fruits and vegetables based foods, Fruits based foods, Fruits, Apricots",,['en:vegetarian'],,unknown,other,no,,35.0,Non Biodegradable,non_food,good life apricot,non_food
8902901222685.0,Good life fennel,"Plant-based foods and beverages, Beverages, Plant-based foods, Condiments, Seeds, Hot beverages, Plant-based beverages, Spices, Herbal teas, Fennel, Fennel seeds",,[],35.0,d,other,no,35.0,33.5,Non Biodegradable,non_food,good life fennel,non_food
8906090571180.0,Multigrain Chips Tangy Tomato,,,[],,unknown,snack,no,,30.0,Non Biodegradable,snack,multigrain chips tangy tomato,snack
8906067021199.0,Whey Protein - rich milk chocolate flavour,"Dairies, Whey powder",,"['en:palm-oil-free', 'en:non-vegan', 'en:vegetarian-status-unknown']",,unknown,dairy,no,,40.0,Moderately Biodegradable,beverage,whey protein - rich milk chocolate flavour,dairy
8906002000883.0,Garlic Veg M ayonnaise,Mayonnaises,,['en:vegetarian'],,,other,no,,35.0,Non Biodegradable,non_food,garlic veg m ayonnaise,non_food
8904335601890.0,Yoga bar High Protein Muesli+,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Seeds,Cereals and their products,Cereal grains,Oat,Mueslis",,"['en:may-contain-palm-oil', 'en:vegan-status-unknown', 'en:vegetarian']",,,other,no,,40.0,Moderately Biodegradable,confectionery,yoga bar high protein muesli+,confectionery
8901491002486.0,8901491002486,"Kurkure, en:crisps",,"['en:palm-oil', 'en:non-vegan', 'en:vegetarian-status-unknown']",,,other,no,,40.0,Moderately Biodegradable,non_food,8901491002486,non_food
8905507000961.0,Pure Burst Dairy Whitener,"Dairies,Milks (liquid and powder),Milks",,['en:vegetarian'],,,other,no,,35.0,Non Biodegradable,non_food,pure burst dairy whitener,non_food
8904359402091.0,Punjabi Masala Traditional Urad Crisps,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Flatbreads,Special breads,Papadum",,"['en:may-contain-palm-oil', 'en:vegan', 'en:vegetarian']",,,other,no,,40.0,Moderately Biodegradable,spices,punjabi masala traditional urad crisps,snack
8904089918138.0,Happy Full Cream Milk,"Dairies, Milks",,"['en:palm-oil-free', 'en:non-vegan', 'en:vegetarian']",37.0,d,dairy,no,37.0,43.7,Moderately Biodegradable,dairy,happy full cream milk,dairy
8901063029316.0,Jimjam pops,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits",,"['en:palm-oil', 'en:non-vegan', 'en:vegetarian']",,,other,no,,40.0,Moderately Biodegradable,non_food,jimjam pops,non_food
8901808006732.0,Macaroni pasta,,,"['en:palm-oil-content-unknown', 'en:vegan-status-unknown', 'en:vegetarian-status-unknown']",,unknown,other,no,,40.0,Moderately Biodegradable,non_food,macaroni pasta,non_food
8907790000338.0,Fruit mufflins,"Snacks, Sweet snacks, Biscuits and cakes, Cakes, Muffins, Fruit muffins",,"['en:palm-oil', 'en:non-vegan', 'en:vegetarian-status-unknown']",,unknown,other,no,,40.0,Moderately Biodegradable,non_food,fruit mufflins,non_food
8908001246729.0,Natkhat Classic,,,[],,unknown,other,no,,30.0,Non Biodegradable,dairy,natkhat classic,dairy
8906059638329.0,Mishti Doi,"Dairies, Fermented foods, Desserts, Fermented milk products, Dairy desserts, Fermented dairy desserts, Yogurts",,"['en:palm-oil-content-unknown', 'en:non-vegan', 'en:vegetarian']",,,other,no,,40.0,Moderately Biodegradable,non_food,mishti doi,non_food
8901499008800.0,Kellogg's chochos,en:breakfast-cereals,,"['en:palm-oil-content-unknown', 'en:vegan-status-unknown', 'en:vegetarian-status-unknown']",,,other,no,,40.0,Moderately Biodegradable,non_food,kellogg's chochos,non_food
8904132946026.0,liberato caramon,,,[],,unknown,other,no,,30.0,Non Biodegradable,non_food,liberato caramon,non_food
8905507017785.0,First crop almond 500g,,,[],,unknown,other,no,,30.0,Non Biodegradable,non_food,first crop almond 500g,non_food
8901036173435.0,Xtra instant coffee,"Plant-based foods and beverages, Beverages, Plant-based beverages, Instant beverages, Instant mix of chicory and coffee powder, en:coffees",,"['en:palm-oil-free', 'en:vegan', 'en:vegetarian']",-20.0,f,beverage,no,-20.0,38.0,Non Biodegradable,beverage,xtra instant coffee,beverage
8906030680415.0,Gurujee fryums salt,,,[],,unknown,other,no,,30.0,Non Biodegradable,spices,gurujee fryums salt,other
8902246000597.0,Budweiser lager,en:beers,,[],37.0,d,other,no,37.0,33.7,Non Biodegradable,non_food,budweiser lager,non_food
8906058380427.0,Tholoor mango pickle,,,"['en:palm-oil-free', 'en:vegan-status-unknown', 'en:vegetarian-status-unknown']",,unknown,other,no,,40.0,Moderately Biodegradable,non_food,tholoor mango pickle,non_food
8943440002833.0,Dhara mustard oil 1ltr,,,[],,unknown,other,no,,30.0,Non Biodegradable,non_food,dhara mustard oil 1ltr,non_food
8906005509277.0,Classic salted peanuts,en:roasted-peanuts,,[],,,other,no,,30.0,Non Biodegradable,dairy,classic salted peanuts,dairy
8901248713016.0,Abyadhi modhak,"Non food products, Open Products Facts",,[],,unknown,other,no,,30.0,Non Biodegradable,non_food,abyadhi modhak,non_food
8901192002105.0,Catch Pink Rock Salt(Sendha Namak),"Rock-salt,rock salt,Food additives,salt",,"['en:palm-oil-content-unknown', 'en:vegan-status-unknown', 'en:vegetarian-status-unknown']",,,other,no,,40.0,Moderately Biodegradable,spices,catch pink rock salt(sendha namak),other
8906033950874.0,Sev,"Snacks, Salty snacks",,"['en:palm-oil', 'en:vegan-status-unknown', 'en:vegetarian']",,unknown,other,no,,40.0,Moderately Biodegradable,non_food,sev,non_food
